Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
13-Mar-20,NUNAVIK,Sanitaire ,Report de tout rassemblement non-essentiel et interdiction de tout rassemblement de plus de 250 personnes par la santé publique. ,"<a href=\""https://nrbhss.ca/sites/default/files/Postpone_All_Gatherings_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
13-Mar-20,NUNAVIK,Confinement ,Fermeture des services de garde pour deux semaines.,"<a href=\""https://www.krg.ca/fr-CA/covid19 \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
13-Mar-20,NUNAVIK,Éducative-Confinement ,Fermeture des centres de la petite enfance (CPE) du Nunavik pour une période de deux semaines,"<a href=\""https://www.krg.ca/fr-CA/publications/press-releases \""> Régie régionale de la santé et des services sociaux du Nunavik</a>"
15-Mar-20,NUNAVIK,Sanitaire ," suspension des les visites aux patients dans les centres de santé, à Ullivik et dans les résidences pour aînés. ","  <a href=\""https://nrbhss.ca/sites/default/files/COVID-19_Visites_Etablissements_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
19-Mar-20,NUNAVIK,Sanitaire,"Interdiction de vol vers le Nunavik pour toute personne revenant d'un voyage à l'extérieur du Canada ou ayant été en contact avec une personne atteinte de la COVID-19, jusqu'à la fin d'une période d'isolement de 14 jours • Report de tous les déplacements non essentiels du Sud vers le Nunavik. ","<a href=\""https://nrbhss.ca/sites/default/files/COVID-19_deplacements_aeriens_FR_VFinale.pdf  \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
24-Mar-20,NUNAVIK,Sanitaire ,Interdiction des déplacements aériens non essentiels.,"<a href=\""https://nrbhss.ca/sites/default/files/Travel_Ban_joint_press_release_fr.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
29-Mar-20,NUNAVIK,Sanitaire ,"Imposition pour une période indéterminée de couvre-feu dans les 14 villages nordiques du Nunavik de 21 h à 6 h, et ce, tous les jours. ","<a href=\""http://nrbhss.ca/sites/default/files/COVID-19_NUNAVIK-WIDE_CURFEW_FR.pdf  \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
30-Mar-20,NUNAVIK,Sanitaire ,Imposition pour une période indéterminée de couvre-feu de 21 h à 6 h et interdiction des rassemblements intérieurs et extérieurs. ,"<a href=\""http://nrbhss.ca/sites/default/files/Memo_interdiction_rassemblements_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
30-Mar-20,NUNAVIK,Sanitaire ,"Fermeture de tous les lieux publics et annulation de tout rassemblement, y compris les messes, les funérailles, les noces et les baptêmes. ","<a href=\""http://nrbhss.ca/sites/default/files/20200330_PressReleaseGatherings_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a> "
02-Apr-20,NUNAVIK,"Sanitaire (visant à limiter la propagation 
de covid-19 au Nunavik)",Imposition d'un confinement aux 14 communautés du Nunavik à compter du 3 avril et annulation de tous les vols à destination et en partance du Nunavik ainsi qu’entre les communautés jusqu’à nouvel ordre. ," <a href=\""http://nrbhss.ca/sites/default/files/Joint_press_release_important_measure_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
